name,current_accuracy,max_logit_diff_vs_base,gauge_imbalance_max,q4_accuracy,q4_pass,prune40_accuracy,prune40_pass,adapt_pass,adapt_min_steps,adapt_lr,adapt_shift_accuracy,adapt_retained_accuracy,merge_pass,merge_alpha,merge_original_accuracy,merge_rotated_accuracy,optionality_passes,optionality_total
base,0.9822221994400024,0.0,1.379930853843689,0.9755555391311646,True,0.9822221994400024,True,True,55,0.003,0.5222222208976746,0.9666666388511658,True,0.8500000000000001,0.9755555391311646,0.8244444727897644,4,4
same-function / bad-gauge,0.9822221994400024,5.7220458984375e-06,10.59027099609375,0.09555555880069733,False,0.7866666913032532,False,False,,,,,False,,,,0,4
gauge-fixed,0.9822221994400024,5.7220458984375e-06,3.576278118089249e-07,0.9800000190734863,True,0.9822221994400024,True,True,85,0.001,0.5222222208976746,0.9777777791023254,True,0.8500000000000001,0.9755555391311646,0.8377777934074402,4,4
